date,year,quarter,hosr,FEDFUNDS,MSPUS,GDPC1,PAYEMS,CPIAUCSL,UNRATE,UMCSENT,DSPIC96,PERMIT,ICSA,SP500
2006-04-01,2006,Q2,68.8,4.906666666666667,246300.0,15281.525,136258.0,201.26666666666665,4.633333333333333,83.8,11190.4,1923.3333333333333,313153.8461538461,1280.8117443015874
2006-07-01,2006,Q3,68.9,5.246666666666667,235600.0,15304.517,136685.66666666666,203.16666666666666,4.633333333333334,84.03333333333335,11212.733333333332,1713.3333333333333,316571.4285714286,1288.317307238095
2006-10-01,2006,Q4,68.8,5.246666666666667,245400.0,15433.643,137054.66666666666,202.33333333333334,4.433333333333334,92.46666666666665,11355.300000000001,1581.0,322076.92307692306,1388.6353934444446
2007-01-01,2007,Q1,68.5,5.256666666666667,257400.0,15478.956,137609.33333333334,204.317,4.5,92.2,11439.433333333334,1606.6666666666667,315923.07692307694,1424.3813116065573
2007-04-01,2007,Q2,68.3,5.25,242200.0,15577.779,137968.0,206.631,4.5,86.89999999999999,11491.333333333334,1456.6666666666667,313384.6153846154,1497.176188174603
2007-07-01,2007,Q3,68.0,5.073333333333333,241800.0,15671.605,138049.33333333334,207.939,4.666666666666667,85.73333333333335,11511.233333333332,1314.3333333333333,315384.6153846154,1489.4634951587302
2007-10-01,2007,Q4,67.8,4.496666666666667,238400.0,15767.146,138283.33333333334,210.4896666666667,4.8,77.5,11529.333333333334,1188.3333333333333,338307.6923076923,1495.74546621875
2008-01-01,2008,Q1,67.9,3.1766666666666663,233900.0,15702.906,138334.0,212.76966666666667,5.0,72.89999999999999,11548.766666666668,1025.0,350692.3076923077,1350.661475
2008-04-01,2008,Q2,68.1,2.0866666666666664,235300.0,15792.773,137860.0,215.5376666666667,5.333333333333333,59.6,11772.300000000001,1061.0,369615.3846153846,1371.627504359375
2008-07-01,2008,Q3,67.7,1.9400000000000002,226500.0,15709.562,137152.33333333334,218.861,6.0,64.83333333333333,11537.466666666667,858.6666666666666,431769.23076923075,1252.024683015625
2008-10-01,2008,Q4,67.5,0.5066666666666667,222500.0,15366.607,135552.0,213.84866666666667,6.866666666666667,57.666666666666664,11661.966666666667,638.6666666666666,519692.3076923077,911.977345484375
2009-01-01,2009,Q1,67.4,0.18333333333333335,208400.0,15187.475,133293.0,212.37766666666667,8.266666666666667,58.26666666666667,11636.699999999999,538.6666666666666,621000.0,807.6659005245901
2009-04-01,2009,Q2,67.4,0.18000000000000002,220900.0,15161.772,131433.33333333334,213.50699999999998,9.299999999999999,68.2,11699.266666666668,559.3333333333334,612615.3846153846,892.6014278730158
2009-07-01,2009,Q3,67.4,0.15666666666666665,214300.0,15216.647,130465.66666666667,215.34399999999997,9.633333333333333,68.39999999999999,11557.366666666667,606.6666666666666,557846.1538461539,995.7482805
2009-10-01,2009,Q4,67.2,0.12,219000.0,15379.155,129963.33333333333,217.03,9.933333333333334,70.16666666666667,11579.699999999999,623.3333333333334,503461.53846153844,1088.723279921875
2010-01-01,2010,Q1,67.2,0.13333333333333333,222900.0,15456.059,129789.0,217.37400000000002,9.833333333333334,73.86666666666666,11667.433333333334,657.6666666666666,478692.3076923077,1123.593601885246
2010-04-01,2010,Q2,66.9,0.19333333333333336,219500.0,15605.628,130423.66666666667,217.29733333333334,9.633333333333333,73.93333333333334,11860.9,599.6666666666666,462692.3076923077,1134.5844396507937
2010-07-01,2010,Q3,66.7,0.18666666666666668,224100.0,15726.282,130402.0,217.93433333333334,9.466666666666667,68.3,11936.633333333333,574.0,462307.6923076923,1096.2468748125
2010-10-01,2010,Q4,66.5,0.18666666666666668,224300.0,15807.995,130732.33333333333,219.69899999999998,9.5,71.26666666666667,11980.333333333334,583.3333333333334,432307.6923076923,1204.585620875
2011-01-01,2011,Q1,66.5,0.15666666666666668,226900.0,15769.911,131060.66666666667,222.04366666666667,9.033333333333333,73.06666666666666,12094.9,567.0,412615.3846153846,1302.5290271612903
2011-04-01,2011,Q2,66.0,0.09333333333333334,228100.0,15876.839,131748.0,224.56833333333336,9.066666666666666,71.86666666666666,12064.133333333333,611.6666666666666,420461.53846153844,1318.3328586190476
2011-07-01,2011,Q3,66.1,0.08333333333333333,223500.0,15870.684,132160.66666666666,226.03266666666664,9.0,59.666666666666664,12117.733333333332,626.0,413230.76923076925,1225.26844221875
